algorithm,graph,outcome,t_load,t_makespan,t_processing
PR,graph500-26,succeed,2726.188,3109.246,2418.974
PR,graph500-26,succeed,2726.188,472.627,364.322
PR,graph500-26,succeed,2726.188,3168.970,2480.562
WCC,graph500-26,succeed,2726.188,2111.931,1422.223
WCC,graph500-26,succeed,2726.188,1489.675,996.880
WCC,graph500-26,succeed,2726.188,2104.536,1416.236
SSSP,graph500-24,succeed,887.242,87.474,55.374
SSSP,graph500-24,succeed,887.242,87.410,55.237
SSSP,graph500-24,succeed,887.242,87.842,55.171
SSSP,graph500-24,succeed,887.242,88.900,56.755
SSSP,graph500-24,succeed,887.242,87.330,55.172
SSSP,uniform-24,succeed,896.129,129.384,89.758
SSSP,uniform-24,succeed,896.129,131.973,92.391
SSSP,uniform-24,succeed,896.129,129.904,89.643
SSSP,uniform-24,succeed,896.129,130.036,90.446
SSSP,uniform-24,succeed,896.129,130.051,90.519
